row_type,seed,pressure_profile,policy_name,scenario_count,mean_throughput_tok_s,mean_throughput_sample_std_tok_s,p5_throughput_tok_s,p5_throughput_sample_std_tok_s,p95_makespan_s,p95_makespan_sample_std_s,feasible_rate,feasible_rate_sample_std,oracle_ratio,oracle_ratio_sample_std
per_seed,42,base,best_feasible_legacy_activation_split,48,14.840244379534601,,14.840244379534601,,3.372798531237945,,1.0,,0.4163973743107761,
per_seed,42,base,global_static_deepflow,48,38.5108757892433,,38.5108757892433,,2.5736093579568045,,1.0,,0.8916445658737316,
per_seed,42,base,heuristic_deepflow,48,45.22374323738077,,45.22374323738077,,2.403514439182265,,1.0,,0.9791157467947729,
per_seed,42,base,per_profile_oracle,48,45.94262866446775,,45.94262866446775,,2.3519993297751793,,1.0,,1.0,
per_seed,42,base,ppo_deepflow,48,44.75209056575811,,44.75209056575811,,2.4167347553076017,,1.0,,0.9829388779440101,
per_seed,42,base,remote_target_without_speculation,48,29.705257166962447,,29.705257166962447,,2.2256860978671975,,1.0,,0.6019812865236458,
per_seed,42,base,strict_local_target,48,5.32568698933434,,5.32568698933434,,14.067800898124704,,1.0,,0.10099803398604823,
per_seed,42,base,token_speculation_without_pipeline,48,27.49270833349112,,27.49270833349112,,250000002.27239197,,0.75,,0.44776072137702266,
per_seed,42,mild,best_feasible_legacy_activation_split,48,14.052563263201376,,13.797067088180823,,3.5999906252275897,,1.0,,0.42974011351360947,
per_seed,42,mild,global_static_deepflow,48,35.64687840399992,,34.12644314653544,,2.864060536672675,,1.0,,0.8995964977194071,
per_seed,42,mild,heuristic_deepflow,48,41.40994482561372,,40.749290820613254,,2.6866868207509613,,1.0,,0.9831981679923371,
per_seed,42,mild,per_profile_oracle,48,41.7880161105141,,41.077878850226845,,2.643594481164308,,1.0,,1.0,
per_seed,42,mild,ppo_deepflow,48,40.690484038048005,,40.0881072752483,,2.711238861090556,,1.0,,0.9832581132455236,
per_seed,42,mild,remote_target_without_speculation,48,27.177246491127665,,26.92489966643282,,2.449719871364218,,1.0,,0.6050467444297336,
per_seed,42,mild,strict_local_target,48,4.841533626667582,,4.841533626667582,,15.474580987937165,,1.0,,0.10108157740867503,
per_seed,42,mild,token_speculation_without_pipeline,48,25.09457857286417,,24.961658556993516,,250000002.5005556,,0.75,,0.44943487317522957,
per_seed,42,severe,best_feasible_legacy_activation_split,48,12.91238364568463,,11.856190352405903,,4.1640213317016785,,1.0,,0.44503137609940063,
per_seed,42,severe,global_static_deepflow,48,31.57245026199048,,29.394424041409216,,3.285419435615752,,1.0,,0.9049554957748389,
per_seed,42,severe,heuristic_deepflow,48,36.414772514231075,,33.97372031577824,,3.0846941060695117,,1.0,,0.9844717617060628,
per_seed,42,severe,per_profile_oracle,48,36.72018107945055,,34.19044144924826,,3.030018949298986,,1.0,,1.0,
per_seed,42,severe,ppo_deepflow,48,35.53741806682993,,33.819410648801146,,3.101409711051977,,1.0,,0.981437684984032,
per_seed,42,severe,remote_target_without_speculation,48,24.01283209078396,,23.131047070162612,,2.8007193926773635,,1.0,,0.608497651856699,
per_seed,42,severe,strict_local_target,48,4.260549591467473,,4.260549591467473,,17.584751122655877,,1.0,,0.10130409283548265,
per_seed,42,severe,token_speculation_without_pipeline,48,19.999066748704877,,19.530813013604178,,500000001.11744195,,0.5,,0.31734479770950486,
per_seed,20260912,base,best_feasible_legacy_activation_split,48,14.840244379534601,,14.840244379534601,,3.372798531237945,,1.0,,0.4163973743107761,
per_seed,20260912,base,global_static_deepflow,48,38.5108757892433,,38.5108757892433,,2.5736093579568045,,1.0,,0.8916445658737316,
per_seed,20260912,base,heuristic_deepflow,48,45.22374323738077,,45.22374323738077,,2.403514439182265,,1.0,,0.9791157467947729,
per_seed,20260912,base,per_profile_oracle,48,45.94262866446775,,45.94262866446775,,2.3519993297751793,,1.0,,1.0,
per_seed,20260912,base,ppo_deepflow,48,45.14357776446531,,45.14357776446531,,2.392623890121993,,1.0,,0.9803315812241747,
per_seed,20260912,base,remote_target_without_speculation,48,29.705257166962447,,29.705257166962447,,2.2256860978671975,,1.0,,0.6019812865236458,
per_seed,20260912,base,strict_local_target,48,5.32568698933434,,5.32568698933434,,14.067800898124704,,1.0,,0.10099803398604823,
per_seed,20260912,base,token_speculation_without_pipeline,48,27.49270833349112,,27.49270833349112,,250000002.27239197,,0.75,,0.44776072137702266,
per_seed,20260912,mild,best_feasible_legacy_activation_split,48,14.052563263201376,,13.797067088180823,,3.5999906252275897,,1.0,,0.42974011351360947,
per_seed,20260912,mild,global_static_deepflow,48,35.64687840399992,,34.12644314653544,,2.864060536672675,,1.0,,0.8995964977194071,
per_seed,20260912,mild,heuristic_deepflow,48,41.40994482561372,,40.749290820613254,,2.6866868207509613,,1.0,,0.9831981679923371,
per_seed,20260912,mild,per_profile_oracle,48,41.7880161105141,,41.077878850226845,,2.643594481164308,,1.0,,1.0,
per_seed,20260912,mild,ppo_deepflow,48,41.33488521084138,,40.7503694309179,,2.67386817041173,,1.0,,0.9842302447789414,
per_seed,20260912,mild,remote_target_without_speculation,48,27.177246491127665,,26.92489966643282,,2.449719871364218,,1.0,,0.6050467444297336,
per_seed,20260912,mild,strict_local_target,48,4.841533626667582,,4.841533626667582,,15.474580987937165,,1.0,,0.10108157740867503,
per_seed,20260912,mild,token_speculation_without_pipeline,48,25.09457857286417,,24.961658556993516,,250000002.5005556,,0.75,,0.44943487317522957,
per_seed,20260912,severe,best_feasible_legacy_activation_split,48,12.91238364568463,,11.856190352405903,,4.1640213317016785,,1.0,,0.44503137609940063,
per_seed,20260912,severe,global_static_deepflow,48,31.57245026199048,,29.394424041409216,,3.285419435615752,,1.0,,0.9049554957748389,
per_seed,20260912,severe,heuristic_deepflow,48,36.414772514231075,,33.97372031577824,,3.0846941060695117,,1.0,,0.9844717617060628,
per_seed,20260912,severe,per_profile_oracle,48,36.72018107945055,,34.19044144924826,,3.030018949298986,,1.0,,1.0,
per_seed,20260912,severe,ppo_deepflow,48,36.34898842206586,,33.9274987767024,,3.0701590444826894,,1.0,,0.9854177043293308,
per_seed,20260912,severe,remote_target_without_speculation,48,24.01283209078396,,23.131047070162612,,2.8007193926773635,,1.0,,0.608497651856699,
per_seed,20260912,severe,strict_local_target,48,4.260549591467473,,4.260549591467473,,17.584751122655877,,1.0,,0.10130409283548265,
per_seed,20260912,severe,token_speculation_without_pipeline,48,19.999066748704877,,19.530813013604178,,500000001.11744195,,0.5,,0.31734479770950486,
per_seed,20261127,base,best_feasible_legacy_activation_split,48,14.840244379534601,,14.840244379534601,,3.372798531237945,,1.0,,0.4163973743107761,
per_seed,20261127,base,global_static_deepflow,48,38.5108757892433,,38.5108757892433,,2.5736093579568045,,1.0,,0.8916445658737316,
per_seed,20261127,base,heuristic_deepflow,48,45.22374323738077,,45.22374323738077,,2.403514439182265,,1.0,,0.9791157467947729,
per_seed,20261127,base,per_profile_oracle,48,45.94262866446775,,45.94262866446775,,2.3519993297751793,,1.0,,1.0,
per_seed,20261127,base,ppo_deepflow,48,45.61123939252009,,45.61123939252009,,2.368114051524064,,1.0,,0.9935386177429436,
per_seed,20261127,base,remote_target_without_speculation,48,29.705257166962447,,29.705257166962447,,2.2256860978671975,,1.0,,0.6019812865236458,
per_seed,20261127,base,strict_local_target,48,5.32568698933434,,5.32568698933434,,14.067800898124704,,1.0,,0.10099803398604823,
per_seed,20261127,base,token_speculation_without_pipeline,48,27.49270833349112,,27.49270833349112,,250000002.27239197,,0.75,,0.44776072137702266,
per_seed,20261127,mild,best_feasible_legacy_activation_split,48,14.052563263201376,,13.797067088180823,,3.5999906252275897,,1.0,,0.42974011351360947,
per_seed,20261127,mild,global_static_deepflow,48,35.64687840399992,,34.12644314653544,,2.864060536672675,,1.0,,0.8995964977194071,
per_seed,20261127,mild,heuristic_deepflow,48,41.40994482561372,,40.749290820613254,,2.6866868207509613,,1.0,,0.9831981679923371,
per_seed,20261127,mild,per_profile_oracle,48,41.7880161105141,,41.077878850226845,,2.643594481164308,,1.0,,1.0,
per_seed,20261127,mild,ppo_deepflow,48,41.736616273357996,,40.9908669300484,,2.656548358539084,,1.0,,0.9967293988112976,
per_seed,20261127,mild,remote_target_without_speculation,48,27.177246491127665,,26.92489966643282,,2.449719871364218,,1.0,,0.6050467444297336,
per_seed,20261127,mild,strict_local_target,48,4.841533626667582,,4.841533626667582,,15.474580987937165,,1.0,,0.10108157740867503,
per_seed,20261127,mild,token_speculation_without_pipeline,48,25.09457857286417,,24.961658556993516,,250000002.5005556,,0.75,,0.44943487317522957,
per_seed,20261127,severe,best_feasible_legacy_activation_split,48,12.91238364568463,,11.856190352405903,,4.1640213317016785,,1.0,,0.44503137609940063,
per_seed,20261127,severe,global_static_deepflow,48,31.57245026199048,,29.394424041409216,,3.285419435615752,,1.0,,0.9049554957748389,
per_seed,20261127,severe,heuristic_deepflow,48,36.414772514231075,,33.97372031577824,,3.0846941060695117,,1.0,,0.9844717617060628,
per_seed,20261127,severe,per_profile_oracle,48,36.72018107945055,,34.19044144924826,,3.030018949298986,,1.0,,1.0,
per_seed,20261127,severe,ppo_deepflow,48,36.67939967135601,,34.22862115016409,,3.043181039154973,,1.0,,0.9971500957588159,
per_seed,20261127,severe,remote_target_without_speculation,48,24.01283209078396,,23.131047070162612,,2.8007193926773635,,1.0,,0.608497651856699,
per_seed,20261127,severe,strict_local_target,48,4.260549591467473,,4.260549591467473,,17.584751122655877,,1.0,,0.10130409283548265,
per_seed,20261127,severe,token_speculation_without_pipeline,48,19.999066748704877,,19.530813013604178,,500000001.11744195,,0.5,,0.31734479770950486,
across_seeds,,base,best_feasible_legacy_activation_split,48,14.840244379534601,0.0,14.840244379534601,0.0,3.372798531237945,0.0,1.0,0.0,0.4163973743107761,0.0
across_seeds,,base,global_static_deepflow,48,38.5108757892433,0.0,38.5108757892433,0.0,2.5736093579568045,0.0,1.0,0.0,0.8916445658737316,0.0
across_seeds,,base,heuristic_deepflow,48,45.22374323738077,0.0,45.22374323738077,0.0,2.403514439182265,0.0,1.0,0.0,0.9791157467947729,0.0
across_seeds,,base,per_profile_oracle,48,45.94262866446775,0.0,45.94262866446775,0.0,2.3519993297751793,0.0,1.0,0.0,1.0,0.0
across_seeds,,base,ppo_deepflow,48,45.16896924091451,0.43013686419420555,45.16896924091451,0.43013686419420555,2.392490898984553,0.02431062471602919,1.0,0.0,0.9856030256370428,0.0069949778841496115
across_seeds,,base,remote_target_without_speculation,48,29.705257166962447,0.0,29.705257166962447,0.0,2.2256860978671975,0.0,1.0,0.0,0.6019812865236458,0.0
across_seeds,,base,strict_local_target,48,5.32568698933434,0.0,5.32568698933434,0.0,14.067800898124704,0.0,1.0,0.0,0.10099803398604823,0.0
across_seeds,,base,token_speculation_without_pipeline,48,27.49270833349112,0.0,27.49270833349112,0.0,250000002.27239197,0.0,0.75,0.0,0.44776072137702266,0.0
across_seeds,,mild,best_feasible_legacy_activation_split,48,14.052563263201376,0.0,13.797067088180823,0.0,3.5999906252275897,0.0,1.0,0.0,0.42974011351360947,0.0
across_seeds,,mild,global_static_deepflow,48,35.64687840399992,0.0,34.12644314653544,0.0,2.864060536672675,0.0,1.0,0.0,0.8995964977194071,0.0
across_seeds,,mild,heuristic_deepflow,48,41.40994482561372,0.0,40.749290820613254,0.0,2.6866868207509613,0.0,1.0,0.0,0.9831981679923371,0.0
across_seeds,,mild,per_profile_oracle,48,41.7880161105141,0.0,41.077878850226845,0.0,2.643594481164308,0.0,1.0,0.0,1.0,0.0
across_seeds,,mild,ppo_deepflow,48,41.25399517408246,0.5277362617575313,40.60978121207153,0.46751206833887676,2.6805517966804566,0.027951134367108384,1.0,0.0,0.9880725856119209,0.0075127605449823885
across_seeds,,mild,remote_target_without_speculation,48,27.177246491127665,0.0,26.92489966643282,0.0,2.449719871364218,0.0,1.0,0.0,0.6050467444297336,0.0
across_seeds,,mild,strict_local_target,48,4.841533626667582,0.0,4.841533626667582,0.0,15.474580987937165,0.0,1.0,0.0,0.10108157740867503,0.0
across_seeds,,mild,token_speculation_without_pipeline,48,25.09457857286417,0.0,24.961658556993516,0.0,250000002.5005556,0.0,0.75,0.0,0.44943487317522957,0.0
across_seeds,,severe,best_feasible_legacy_activation_split,48,12.91238364568463,0.0,11.856190352405903,0.0,4.1640213317016785,0.0,1.0,0.0,0.44503137609940063,0.0
across_seeds,,severe,global_static_deepflow,48,31.57245026199048,0.0,29.394424041409216,0.0,3.285419435615752,0.0,1.0,0.0,0.9049554957748389,0.0
across_seeds,,severe,heuristic_deepflow,48,36.414772514231075,0.0,33.97372031577824,0.0,3.0846941060695117,0.0,1.0,0.0,0.9844717617060628,0.0
across_seeds,,severe,per_profile_oracle,48,36.72018107945055,0.0,34.19044144924826,0.0,3.030018949298986,0.0,1.0,0.0,1.0,0.0
across_seeds,,severe,ppo_deepflow,48,36.18860205341726,0.587642184245823,33.99184352522254,0.21205776006319146,3.0715832648965464,0.029140450589561426,1.0,0.0,0.9880018283573929,0.00816873526521648
across_seeds,,severe,remote_target_without_speculation,48,24.01283209078396,0.0,23.131047070162612,0.0,2.8007193926773635,0.0,1.0,0.0,0.608497651856699,0.0
